stat,Dis,crop,year,sea,prod,met,Unnamed: 7,Unnamed: 8,Unnamed: 9
Tamil Nadu,Cuddalore,Cotton(lint),2002,Kharif,668,Hectare,1267.0,Bales,1.896706587
Tamil Nadu,Dharmapuri,Cotton(lint),2002,Kharif,3325,Hectare,2335.0,Bales,0.702255639
Tamil Nadu,Dindigul,Cotton(lint),2002,Kharif,1859,Hectare,1949.0,Bales,1.048413125
Tamil Nadu,Erode,Cotton(lint),2002,Kharif,2709,Hectare,4717.0,Bales,1.741232927
Tamil Nadu,Kanchipuram,Cotton(lint),2002,Kharif,141,Hectare,275.0,Bales,1.95035461
Tamil Nadu,Karur,Cotton(lint),2002,Kharif,145,Hectare,245.0,Bales,1.689655172
Tamil Nadu,Madurai,Cotton(lint),2002,Kharif,9505,Hectare,6153.0,Bales,0.647343503
Tamil Nadu,Nagapattinam,Cotton(lint),2002,Kharif,1185,Hectare,2313.0,Bales,1.951898734
Tamil Nadu,Namakkal,Cotton(lint),2002,Kharif,2318,Hectare,4117.0,Bales,1.776100086
Tamil Nadu,Perambalur,Cotton(lint),2002,Kharif,1469,Hectare,1653.0,Bales,1.125255276
Tamil Nadu,Pudukkottai,Cotton(lint),2002,Kharif,67,Hectare,126.0,Bales,1.880597015
Tamil Nadu,Ramanathapuram,Cotton(lint),2002,Kharif,1529,Hectare,1040.0,Bales,0.680183126
